Teste,Tamanho,Num_Proc,Num_Threads,Real,User,Sys
1,512,2,4,2.65,2.57,0.16
2,512,2,4,2.38,2.26,0.13
3,512,2,4,2.54,2.59,0.16
4,512,2,4,2.47,2.34,0.15
5,512,2,4,2.43,2.43,0.15
6,512,2,4,2.56,2.67,0.13
7,512,2,4,2.50,2.38,0.18
8,512,2,4,3.10,3.48,0.13
9,512,2,4,3.26,3.50,0.17
10,512,2,4,3.07,3.13,0.23
11,512,2,4,3.38,3.84,0.16
12,512,2,4,3.40,3.53,0.19
13,512,2,4,3.16,3.30,0.18
14,512,2,4,3.13,3.27,0.23
15,512,2,4,3.13,3.56,0.17
16,512,2,4,3.36,3.36,0.15
17,512,2,4,3.49,3.63,0.20
18,512,2,4,3.35,3.72,0.18
19,512,2,4,3.26,3.37,0.16
20,512,2,4,3.27,3.43,0.20
21,512,2,4,3.16,3.32,0.18
22,512,2,4,3.39,3.43,0.19
23,512,2,4,3.21,3.53,0.20
24,512,2,4,3.39,3.43,0.28
25,512,2,4,3.35,3.68,0.18
26,512,2,4,3.16,3.50,0.17
27,512,2,4,3.18,3.47,0.23
28,512,2,4,3.58,4.12,0.14
29,512,2,4,3.30,3.46,0.24
30,512,2,4,3.31,3.41,0.20
31,512,2,4,3.24,3.44,0.21
32,512,2,4,3.72,3.97,0.17
